priority_rank,content_id,client_id,priority_score,recommended_action,reason_codes,search_volume,impressions_90d,clicks_90d,trend_pct,days_since_last_update,word_count,content_age_days
6794,content_bfefedb0b8a5,client_8722616204,0.8691079179454356,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",50.0,47,0,-100.0,8,3268.0,98
6795,content_be12f5f1f683,client_3fdba35f04,0.8691072857440236,Freshness review,"STALE, HIGH_DEMAND, MULTIPLE_SIGNALS",22200.0,304,0,86.5,104,,463
6796,content_01de991d8888,client_e629fa6598,0.8690923646445766,Monitor,DECLINING,10.0,131,0,-100.0,22,,502
6797,content_5f3fbd7e5521,client_f369cb89fc,0.8690848551029722,Monitor,DECLINING,0.0,8,1,-50.0,20,2399.0,126
6798,content_233b2ef980b6,client_f74efabef1,0.8690600291424422,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,92,0,-41.4,20,2357.0,112
6799,content_b5f14869b57a,client_a88a7902cb,0.8690315537100692,Monitor,HIGH_DEMAND,50.0,132,0,,8,3198.0,95
6800,content_a33756b40c36,client_f74efabef1,0.8689190378463597,Monitor,DECLINING,10.0,41,0,-80.0,8,2282.0,112
6801,content_6fb7e84bfcbb,client_f369cb89fc,0.8688743761384966,Monitor,REVIEW,0.0,64,0,62.5,8,2846.0,141
6802,content_caad5f6f28c2,client_624b60c58c,0.8688348767137904,Monitor,DECLINING,,62,0,-87.9,8,3421.0,99
6803,content_837ee719f74b,client_f369cb89fc,0.8687325208850997,Monitor,DECLINING,0.0,45,0,-93.3,20,2421.0,117
6804,content_2273e573809b,client_3fdba35f04,0.8686789586904734,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",480.0,59,0,-89.5,14,2414.0,310
6805,content_797b9054d00d,client_19581e27de,0.8686183229095956,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",140.0,40,0,-68.2,104,,313
